time,acc_x,acc_y,acc_z,gravity_x,gravity_y,gravity_z
1409349917029,0.15382746,9.715671,1.4784195,-0.04082418,9.718596,1.3105729
1409349917030,0.15442601,9.647436,1.3868413,-0.038736414,9.71911,1.306836
1409349917052,0.13467385,9.69532,1.3060371,-0.037099753,9.719786,1.3018483
1409349917053,0.14844051,9.720459,1.2162545,-0.036206894,9.720748,1.2946582
1409349917056,0.0712275,9.733627,1.1599907,-0.035129473,9.721912,1.2859254
1409349917085,-0.04249708,9.791088,1.0696096,-0.03437135,9.723042,1.2773639
1409349917086,-0.06284779,9.801862,0.97743285,-0.034890257,9.724176,1.2686913
1409349917087,-0.073621705,9.821015,1.1180922,-0.03581015,9.725279,1.2601836
1409349917096,-0.046686932,9.752182,1.2982559,-0.03640607,9.725936,1.2550855
1409349917124,-0.04369418,9.746795,1.3293805,-0.036507193,9.726028,1.2543647
1409349917125,5.985504E-4,9.723452,1.3299791,-0.036339726,9.725972,1.2548119
1409349917127,-0.02932897,9.7402115,1.3126211,-0.03545213,9.725941,1.255079
1409349917156,-0.05925649,9.77792,1.2611457,-0.03442162,9.726036,1.2543724
1409349917156,-0.079008654,9.814431,1.198298,-0.03359306,9.72624,1.2528064
1409349917157,-0.06584055,9.800665,1.1887212,-0.033604894,9.726559,1.2503408
1409349917195,-0.0664391,9.805453,1.2180501,-0.03407865,9.726905,1.2476251
1409349917196,-0.075417355,9.793482,1.2425907,-0.03461407,9.727163,1.245587
1409349917197,-0.08619126,9.792884,1.3006501,-0.03578414,9.727309,1.2444208
1409349917198,-0.07062895,9.803658,1.3365631,-0.037313834,9.727447,1.2432927
1409349917216,-0.109534726,9.794081,1.316811,-0.038877282,9.727654,1.241621
1409349917217,-0.020949265,9.722853,1.1498153,-0.04096826,9.728049,1.2384622
1409349917235,-0.045489833,9.776124,1.0414777,-0.042469315,9.728721,1.2331284
1409349917241,-0.020350715,9.772532,1.0755951,-0.04414996,9.729469,1.2271318
1409349917247,-0.021547815,9.746197,1.2150574,-0.045420565,9.730087,1.2221804
1409349917272,-0.039504327,9.753379,1.3042414,-0.046367347,9.730282,1.2205992
1409349917273,-0.046686932,9.7719345,1.3042414,-0.046894293,9.730156,1.2215766
1409349917276,-0.049081136,9.764751,1.3335704,-0.047297027,9.729973,1.223028
1409349917308,0.025139118,9.767146,1.3605051,-0.04770605,9.7297945,1.2244302
1409349917308,-0.004189853,9.802461,1.3868413,-0.047234192,9.729636,1.2256986
1409349917309,-0.027533319,9.804854,1.4149733,-0.046940032,9.729556,1.2263463
1409349917318,-0.02932897,9.783307,1.3880384,-0.046893854,9.729572,1.2262164
1409349917340,-0.002992752,9.755774,1.2084733,-0.046512015,9.729716,1.2251035
1409349917341,-0.047884032,9.747394,1.1019313,-0.045909666,9.730216,1.2211411
1409349917370,-0.11552023,9.752781,1.1067197,-0.045903675,9.730969,1.2151228
1409349917371,-0.13227965,9.759365,1.1061212,-0.04662512,9.731738,1.2089199
1409349917372,-0.15382746,9.788693,1.1875241,-0.0477569,9.73241,1.2034645
