time,acc_x,acc_y,acc_z,gravity_x,gravity_y,gravity_z
1409526651194,1.2802993,9.494805,2.2780828,1.1380558,9.515835,2.0794473
1409526651195,1.287482,9.512762,2.2840683,1.1376593,9.515388,2.0817087
1409526651212,1.3156139,9.4972,2.2864625,1.1372093,9.515099,2.083277
1409526651221,1.3359646,9.512163,2.2930467,1.1367801,9.514979,2.0840602
1409526651237,1.3575124,9.504382,2.321777,1.1363163,9.514953,2.084432
1409526651238,1.389834,9.478046,2.3409307,1.1362923,9.514825,2.0850317
1409526651241,1.4083891,9.489418,2.3654714,1.1368911,9.514495,2.0862095
1409526651257,1.3988123,9.531317,2.4073699,1.1377347,9.513951,2.0882277
1409526651261,1.3904326,9.5253315,2.385822,1.1383497,9.513273,2.0909827
1409526651278,1.365892,9.526528,2.3582888,1.1394749,9.512405,2.094315
1409526651291,1.3682863,9.492412,2.3373394,1.1411242,9.511276,2.0985394
1409526651293,1.3844471,9.432556,2.307412,1.143128,9.510065,2.102931
1409526651307,1.3934253,9.394249,2.3241713,1.1454571,9.508886,2.106991
1409526651313,1.4143747,9.408614,2.3397336,1.1482226,9.507785,2.1104503
1409526651329,1.4065934,9.440337,2.3319526,1.1515446,9.506768,2.1132202
1409526651345,1.401805,9.441534,2.2948422,1.1551002,9.505884,2.115256
1409526651346,1.423353,9.4535055,2.3056161,1.1590239,9.505058,2.1168208
1409526651366,1.4520833,9.478644,2.328361,1.163645,9.504173,2.1182654
1409526651367,1.4598645,9.49301,2.355296,1.1686755,9.503242,2.1196723
1409526651374,1.4610616,9.487623,2.3463178,1.1737331,9.502163,2.1217105
1409526651394,1.4628572,9.489418,2.3588872,1.1786008,9.501205,2.1232967
1409526651396,1.4616601,9.482835,2.360683,1.1833571,9.500274,2.1248255
1409526651418,1.4526819,9.454702,2.3469162,1.1880968,9.499246,2.12677
1409526651419,1.4209588,9.449316,2.327164,1.1924778,9.498207,2.1289568
1409526651422,1.3826514,9.434352,2.3253684,1.1958234,9.497469,2.1303782
1409526651447,1.3299791,9.442732,2.2780828,1.1986171,9.496836,2.1316285
1409526651449,1.2826935,9.431957,2.2798786,1.2009614,9.496424,2.1321418
1409526651453,1.2635399,9.424176,2.2750902,1.2030963,9.496095,2.1324003
1409526651462,1.2395979,9.442732,2.2732944,1.2053204,9.495628,2.1332226
1409526651484,1.2431892,9.458893,2.3247697,1.2074426,9.495169,2.134069
