time,acc_x,acc_y,acc_z,gravity_x,gravity_y,gravity_z
1409527267122,1.6621746,9.419987,3.0508115,1.7668307,9.146346,3.0648108
1409527267135,1.6879122,9.212888,2.9897594,1.7654351,9.149077,3.057453
1409527267149,1.7100586,9.160215,2.9963434,1.7645609,9.150628,3.0533156
1409527267153,1.8561049,9.198523,3.040636,1.7640637,9.151634,3.050586
1409527267175,1.9877859,9.274539,3.1202433,1.7657934,9.152315,3.0475411
1409527267177,2.0757728,9.200917,3.1914709,1.7697294,9.152952,3.0433402
1409527267183,2.0949266,9.155427,3.1723173,1.775407,9.152756,3.040625
1409527267222,2.0566192,9.162011,3.168726,1.781006,9.151435,3.0413258
1409527267224,1.9949685,9.205706,3.1118636,1.7850528,9.149658,3.0442982
1409527267226,1.9165585,9.217078,3.067571,1.7869191,9.148367,3.047081
1409527267257,1.8405426,9.203311,3.0783448,1.7873659,9.147854,3.0483537
1409527267259,1.8273745,9.178172,3.0532057,1.7865635,9.148118,3.0480328
1409527267262,1.8297687,9.148245,3.0747535,1.7848394,9.149124,3.0460248
1409527267264,1.8148049,9.165603,3.1352072,1.7824731,9.1508875,3.0421114
1409527267265,1.8112136,9.205107,3.153762,1.7801112,9.152914,3.0373974
1409527267272,1.7914615,9.250597,3.1549592,1.7785087,9.154772,3.0327318
1409527267293,1.7782934,9.254189,3.0873232,1.7774141,9.15632,3.0286992
1409527267294,1.7483658,9.242217,3.0352492,1.7770705,9.15788,3.0241766
1409527267303,1.726818,9.2494,3.0137014,1.7774048,9.159574,3.0188494
1409527267326,1.7052702,9.264363,3.0178912,1.7781963,9.161292,3.0131624
1409527267328,1.6938977,9.215282,3.0214825,1.7787578,9.162948,3.0077913
1409527267332,1.6537948,9.18715,3.0238767,1.7789509,9.16423,3.003765
1409527267362,1.6591818,9.184756,3.0238767,1.7786578,9.16517,3.0010722
1409527267364,1.6657659,9.102157,3.0113072,1.7785455,9.16592,2.998843
1409527267366,1.6986861,9.231443,3.0214825,1.7788124,9.166651,2.9964557
1409527267373,1.7447745,9.257181,3.0214825,1.7784238,9.167701,2.9934716
1409527267394,1.7681179,9.367912,3.05141,1.7777134,9.169168,2.989394
1409527267395,1.7274165,9.321824,2.9700072,1.7772511,9.170925,2.9842772
1409527267403,1.7405846,9.212888,3.0232782,1.7765517,9.17269,2.9792614
