time,acc_x,acc_y,acc_z,gravity_x,gravity_y,gravity_z
1409347885720,-1.276708,2.8532898,8.975264,-1.4260849,2.7831306,9.294668
1409347885746,-1.3730747,2.6839,8.883685,-1.4282933,2.7692616,9.2984705
1409347885746,-1.4287399,2.585738,8.969876,-1.4248972,2.755429,9.3031
1409347885749,-1.3838485,2.6090813,9.534908,-1.4217861,2.7378435,9.308766
1409347885757,-1.536479,2.5677812,9.818622,-1.4275225,2.714185,9.314815
1409347885784,-1.8381484,2.4211364,9.7803135,-1.4477812,2.6872365,9.3195
1409347885784,-1.8567034,2.3409307,9.743802,-1.4762735,2.6564844,9.323845
1409347885789,-1.6346412,2.3612814,9.69951,-1.5131762,2.6278622,9.32604
1409347885805,-1.5131354,2.3888147,9.668983,-1.5494487,2.6076434,9.32576
1409347885808,-1.4622587,2.3894134,9.3661175,-1.5722891,2.5964518,9.32506
1409347885824,-1.3964181,2.344522,9.214086,-1.5767838,2.5904882,9.325958
1409347885838,-1.3072342,2.3187842,9.1751795,-1.5696335,2.5853214,9.328598
1409347885839,-1.2988545,2.3475149,9.150639,-1.5578399,2.5795603,9.33217
1409347885855,-1.4209588,2.4001873,9.211691,-1.5439535,2.5734298,9.336169
1409347885857,-1.5664065,2.4833858,9.293094,-1.5315267,2.5656898,9.340345
1409347885870,-1.6693572,2.5187001,9.3104515,-1.5232338,2.5570612,9.344067
1409347885878,-1.7070658,2.529474,9.294291,-1.5218074,2.548206,9.346718
1409347885894,-1.7004818,2.5258827,9.357738,-1.5269567,2.5407488,9.347908
1409347885908,-1.6747441,2.5797524,9.51336,-1.5353985,2.535085,9.3480625
1409347885909,-1.7160441,2.5600002,9.378088,-1.5431032,2.5303981,9.348064
1409347885922,-1.7603368,2.4887726,9.337387,-1.5502989,2.525563,9.348181
1409347885936,-1.6525977,2.4546554,9.390657,-1.5577735,2.5188086,9.348761
1409347885937,-1.4975731,2.4708161,9.442732,-1.5651741,2.5106,9.349733
1409347885954,-1.4275428,2.409764,9.403227,-1.5672437,2.5007308,9.352032
1409347885957,-1.4383167,2.327164,9.384672,-1.5616822,2.4878488,9.356396
1409347885974,-1.4083891,2.2840683,9.509171,-1.553533,2.4722419,9.361887
1409347885979,-1.407192,2.3139958,9.557653,-1.54693,2.4546936,9.367597
1409347885993,-1.4173675,2.3157916,9.570223,-1.5434924,2.437708,9.372599
1409347886008,-1.4059949,2.2643163,9.601347,-1.5439621,2.4216473,9.376683
1409347886010,-1.447295,2.2337902,9.627085,-1.5469944,2.407747,9.379763
1409347886019,-1.5023615,2.2242134,9.566631,-1.5547774,2.3975067,9.381099
1409347886036,-1.477821,2.2254105,9.564238,-1.5662345,2.3913217,9.380772
1409347886037,-1.4437037,2.183512,9.524733,-1.5806636,2.3878582,9.379233
1409347886053,-1.472434,2.1362264,9.420585,-1.5967569,2.3868663,9.3767605
1409347886057,-1.5149311,2.1003134,9.374496,-1.6126362,2.3877153,9.373826
1409347886071,-1.4975731,2.1428106,9.3343935,-1.6272688,2.3891637,9.370927
1409347886077,-1.4802152,2.1529858,9.224859,-1.6410515,2.3921723,9.367756
1409347886090,-1.4389153,2.1003134,9.11293,-1.6525326,2.3955355,9.364878
1409347886107,-1.4371196,2.0721815,9.09258,-1.6619714,2.3989177,9.362341
1409347886109,-1.459266,2.0787656,9.076419,-1.6716714,2.4023902,9.359723
1409347886122,-1.4652514,2.0847511,9.073426,-1.6831756,2.4053814,9.356894
1409347886137,-1.3688848,2.0739772,9.069835,-1.6965092,2.407329,9.353984
1409347886138,-1.30484,2.0787656,9.167398,-1.7102901,2.4093304,9.350959
1409347886153,-1.4466964,2.0925324,9.238028,-1.7237208,2.4089887,9.34858
1409347886157,-1.5664065,2.166154,9.281123,-1.7381527,2.4083323,9.346076
1409347886171,-1.6364368,2.2463598,9.348759,-1.7536376,2.409925,9.3427725
1409347886191,-1.733402,2.3421278,9.405622,-1.7702237,2.4145207,9.338457
1409347886192,-1.8166006,2.36188,9.141062,-1.7869892,2.425599,9.332392
1409347886206,-1.83336,2.380435,8.940548,-1.8034061,2.4472415,9.323579
1409347886210,-1.75076,2.4785974,8.7292595,-1.8191575,2.4814317,9.311474
1409347886222,-1.632247,2.6300306,8.432379,-1.8362551,2.5230148,9.296932
1409347886239,-1.6567876,2.754529,8.328231,-1.8519022,2.5773501,9.278907
1409347886240,-1.8004397,2.8281507,8.337209,-1.8665377,2.639556,9.258465
1409347886256,-1.9560628,2.8628666,8.330027,-1.8834858,2.701624,9.237104
1409347886260,-2.171541,2.949058,8.605359,-1.9053398,2.7585123,9.215784
1409347886272,-2.343325,3.039439,8.762778,-1.9308378,2.8106935,9.194686
1409347886292,-2.4187422,3.0963013,8.680179,-1.9562016,2.8598943,9.17413
1409347886293,-2.36188,3.1016884,8.558074,-1.9771905,2.9073443,9.1546955
1409347886305,-2.1906946,3.1130607,8.469488,-1.9943235,2.9548554,9.135748
1409347886321,-1.9812019,3.0663738,8.145074,-2.0070493,3.0033276,9.117136
1409347886322,-1.8303672,2.9855695,7.838018,-2.0123067,3.0506616,9.100246
1409347886338,-1.6208745,3.0813377,7.8368206,-2.0083954,3.090458,9.087673
1409347886339,-1.3904326,3.2866404,7.9996266,-1.995843,3.116003,9.081714
1409347886355,-1.3371617,3.3093853,8.393473,-1.9748027,3.120818,9.08466
1409347886357,-1.4095862,3.0891187,8.839992,-1.9438617,3.102178,9.097708
1409347886371,-1.5532384,2.8323407,9.154829,-1.9048293,3.0705996,9.116657
1409347886395,-1.5849615,2.6874914,9.254189,-1.8635926,3.0199115,9.142076
1409347886396,-1.532289,2.6390088,9.387066,-1.8188969,2.9582822,9.171182
1409347886398,-1.6059108,2.694674,9.672575,-1.7721503,2.8925862,9.20124
1409347886409,-1.6316484,2.7539306,10.033501,-1.7261053,2.8259857,9.230642
1409347886421,-1.5987282,2.7084408,10.347141,-1.6794457,2.7597067,9.259258
1409347886440,-1.602918,2.634819,10.486005,-1.6318274,2.6951506,9.286748
1409347886442,-1.5095441,2.5803509,10.389638,-1.5854646,2.6347337,9.312082
1409347886463,-1.5065514,2.5073278,10.103531,-1.5404263,2.5789912,9.3352165
1409347886464,-1.7238252,2.5181017,9.717466,-1.4968092,2.5347207,9.354418
1409347886469,-1.9710265,2.610877,9.464279,-1.4574794,2.502205,9.369371
1409347886488,-2.0069396,2.6449943,9.557653,-1.4228964,2.476811,9.381426
1409347886491,-1.8908207,2.505532,9.986216,-1.3938278,2.4512548,9.392496
1409347886505,-1.8249803,2.3523033,10.384252,-1.3678145,2.4197242,9.404489
1409347886525,-1.7525556,2.212841,10.588357,-1.343141,2.3829963,9.417414
1409347886526,-1.673547,2.1045034,10.613496,-1.3225287,2.3445625,9.42997
1409347886544,-1.6986861,2.0721815,10.487801,-1.3095669,2.307373,9.440946
1409347886544,-1.7501614,2.0506337,10.366295,-1.3002656,2.2748907,9.4501095
1409347886551,-1.8297687,2.0392613,10.398018,-1.2954984,2.2460215,9.457666
1409347886558,-1.9219455,2.0057425,10.493188,-1.2903107,2.2188284,9.464792
1409347886575,-2.0141222,1.9422961,10.556035,-1.282023,2.1905098,9.472511
1409347886587,-2.03148,1.8423382,10.446501,-1.2708368,2.160344,9.480943
1409347886589,-1.9434932,1.7286136,10.272323,-1.2579921,2.1307728,9.489345
1409347886603,-1.7848774,1.6525977,10.0825815,-1.2434964,2.101938,9.497682
1409347886618,-1.6579847,1.5334862,10.00477,-1.2263663,2.075457,9.50573
1409347886619,-1.620276,1.4311341,9.794679,-1.2053094,2.0493393,9.514085
1409347886640,-1.4921862,1.395221,9.492412,-1.1824069,2.0237138,9.522442
1409347886641,-1.3640964,1.4281414,9.233837,-1.1594317,2.0015762,9.5299425
1409347886659,-1.3245921,1.4891934,9.091981,-1.1375148,1.9848722,9.536076
1409347886660,-1.4197617,1.5598224,9.022549,-1.1169258,1.9722562,9.541125
1409347886674,-1.5388732,1.5783775,9.024943,-1.0998951,1.9613703,9.545346
1409347886687,-1.6035166,1.6190789,9.052477,-1.0886903,1.9503334,9.548892
1409347886692,-1.6101006,1.6603789,9.048885,-1.081809,1.9375551,9.552275
1409347886700,-1.5101427,1.673547,8.969278,-1.0817896,1.9235429,9.555109
1409347886717,-1.3970166,1.6334441,8.861539,-1.0857728,1.9092432,9.557525
1409347886718,-1.2497733,1.6705543,8.711902,-1.0913004,1.8949966,9.55973
1409347886735,-1.1378443,1.7190368,8.735844,-1.0952663,1.8824532,9.561755
1409347886738,-1.1282675,1.7753005,8.862138,-1.0976114,1.870466,9.563838
