time,acc_x,acc_y,acc_z,gravity_x,gravity_y,gravity_z
1409522509229,-1.6932992,-0.061650693,10.0664215,-1.4451928,-0.20277905,9.697458
1409522509247,-1.738789,-0.02873042,10.266935,-1.4198602,-0.22474337,9.700715
1409522509250,-1.7824832,-0.11552023,10.436325,-1.4021289,-0.24484314,9.702807
1409522509256,-1.8273745,-0.26874915,10.556035,-1.4042765,-0.2622273,9.702043
1409522509278,-1.822586,-0.33638534,10.55005,-1.4187105,-0.27296728,9.699646
1409522509278,-1.7848774,-0.31483752,10.415376,-1.452735,-0.27332923,9.694598
1409522509291,-1.7202339,-0.3172317,10.094553,-1.4952705,-0.26249167,9.688429
1409522509308,-1.6352397,-0.2657564,9.793482,-1.5366533,-0.24317329,9.682456
1409522509310,-1.608305,-0.20709845,9.627684,-1.5693742,-0.21959017,9.67777
1409522509326,-1.6118963,-0.16699557,9.532514,-1.5896146,-0.19700007,9.6749525
1409522509328,-1.5334862,-0.11192893,9.504382,-1.5942281,-0.17651166,9.674589
1409522509344,-1.5382746,-0.088585466,9.47206,-1.5903102,-0.16167758,9.675493
1409522509359,-1.5143325,-0.06703765,9.46847,-1.5752956,-0.15378073,9.678078
1409522509360,-1.4520833,-0.0676362,9.43495,-1.5553663,-0.15153663,9.681335
1409522509376,-1.42455,-0.020949265,9.399636,-1.5346403,-0.15237042,9.684629
1409522509377,-1.407192,-0.0023942017,9.357738,-1.5169467,-0.15373363,9.687395
1409522509398,-1.3706805,-0.004189853,9.405023,-1.5054039,-0.15550114,9.689168
1409522509399,-1.4012065,-0.025139118,9.566033,-1.5017672,-0.1580292,9.689691
1409522509408,-1.4532804,-0.10175357,9.680955,-1.5064802,-0.16147563,9.688903
1409522509422,-1.4891934,-0.2148796,9.755175,-1.5148386,-0.16760547,9.687495
1409522509441,-1.4520833,-0.24480712,9.759963,-1.5273566,-0.17572518,9.685386
1409522509441,-1.3970166,-0.2160767,9.785102,-1.5386204,-0.18305479,9.683466
1409522509462,-1.3024458,-0.13587095,9.758167,-1.5450538,-0.18654487,9.682376
1409522509463,-1.2282255,-0.089184016,9.704298,-1.5459349,-0.1867525,9.682231
1409522509469,-1.1821371,-0.109534726,9.7084875,-1.5432407,-0.18553144,9.682684
1409522509477,-1.2024878,-0.09935937,9.633071,-1.539346,-0.18363649,9.683341
1409522509501,-1.271321,-0.031124622,9.496002,-1.5358295,-0.17854276,9.683993
1409522509501,-1.347337,0.034715924,9.440337,-1.5354865,-0.16778573,9.68424
1409522509508,-1.3970166,0.10594343,9.425972,-1.5419149,-0.15126991,9.683491
1409522509527,-1.4736311,0.11611878,9.489418,-1.5559117,-0.13079964,9.68155
1409522509543,-1.6089035,0.090381116,9.547478,-1.5776986,-0.10880618,9.678296
1409522509544,-1.6843209,0.09756372,9.609727,-1.6064829,-0.08646374,9.673785
1409522509569,-1.6190789,0.08798691,9.607931,-1.6380213,-0.06367536,9.668672
1409522509569,-1.5089456,0.047285482,9.566631,-1.667763,-0.040486608,9.663712
1409522509570,-1.4736311,0.034715924,9.555259,-1.6949235,-0.016874338,9.659055
1409522509577,-1.38325,0.0724246,9.558251,-1.7173371,0.006328847,9.6551075
