time,acc_x,acc_y,acc_z,gravity_x,gravity_y,gravity_z
1409523170360,-1.3838485,0.32142156,9.174581,-1.523248,0.20183595,9.685524
1409523170361,-1.6783354,0.20709845,9.391256,-1.4785604,0.17786545,9.692915
1409523170380,-1.7399861,0.08678981,9.714474,-1.4700226,0.14933714,9.694695
1409523170381,-1.7579426,0.14305355,9.981427,-1.4995791,0.11975906,9.690578
1409523170387,-1.8207904,0.30346507,10.070611,-1.558049,0.09556164,9.681619
1409523170416,-1.9434932,0.44711718,9.9550905,-1.6259952,0.078039326,9.670596
1409523170417,-1.9788077,0.5823896,9.818622,-1.6880997,0.067914605,9.660026
1409523170419,-1.7788919,0.6991069,9.570223,-1.7440392,0.06586649,9.650097
1409523170447,-1.4867992,0.7332243,9.272743,-1.7871068,0.07592962,9.64214
1409523170448,-1.2593501,0.75477207,9.132683,-1.8226494,0.098553166,9.635281
1409523170449,-1.2575544,0.82240826,9.147048,-1.8582672,0.13296112,9.62806
1409523170459,-1.5382746,0.95349085,9.0429,-1.9030337,0.17760995,9.618592
1409523170479,-1.9554642,1.039682,8.932168,-1.967549,0.231395,9.604457
1409523170480,-2.3864205,1.1599907,8.867524,-2.059674,0.2939747,9.583407
1409523170488,-2.5731683,1.3054385,8.835801,-2.183286,0.36257684,9.553648
1409523170516,-2.6264393,1.389834,9.038112,-2.3201168,0.44369975,9.517908
1409523170517,-2.5390508,1.4730326,9.199121,-2.4773557,0.53579545,9.473437
1409523170519,-2.4013844,1.4760253,9.394249,-2.6418955,0.6361751,9.422636
1409523170547,-2.3247697,1.2120646,9.469068,-2.8058975,0.7444423,9.36713
1409523170548,-2.1775265,0.66858083,8.793902,-2.9703462,0.8593527,9.306393
1409523170550,-2.504335,1.1965023,10.0269165,-3.1392176,0.9834859,9.238423
1409523170580,-2.3199813,0.7721301,8.801684,-3.3114676,1.1232136,9.162039
1409523170581,-3.560178,-0.3453636,8.867524,-3.4974375,1.2626094,9.074367
1409523170581,-4.1252093,-0.219668,9.34397,-3.6960304,1.3869364,8.97698
1409523170587,-3.6056678,0.6727707,9.279925,-3.9210076,1.5122304,8.860544
1409523170609,-3.1124623,1.6154876,9.931747,-4.141297,1.6563021,8.733654
1409523170610,-3.1358056,2.190096,10.953473,-4.314274,1.8207748,8.616392
1409523170631,-3.53863,2.5851393,11.801619,-4.443927,1.9982835,8.5105095
1409523170631,-3.6733038,2.734777,10.896012,-4.5410433,2.1860883,8.412511
1409523170639,-3.1759086,2.8856115,8.564059,-4.616742,2.379856,8.318194
1409523170661,-2.2720973,3.2249897,6.260239,-4.6962986,2.591202,8.209802
1409523170661,-1.9363106,3.465607,5.8280854,-4.7815595,2.8195186,8.084392
1409523170676,-2.621651,3.177704,5.9029045,-4.865154,3.0448127,7.9517155
1409523170700,-3.6511576,2.586935,6.321291,-4.9355555,3.2225904,7.837448
1409523170701,-4.4801497,2.1769278,7.7488337,-5.0038934,3.3147104,7.755265
1409523170702,-5.300164,2.2655134,8.642469,-5.1030765,3.316222,7.6897125
1409523170707,-7.16824,2.3002293,9.048885,-5.244583,3.2618353,7.6174254
