time,acc_x,acc_y,acc_z,gravity_x,gravity_y,gravity_z
1409523027351,0.30226797,-10.17416,-0.8331822,0.58718437,-9.696967,-1.3395592
1409523027361,0.24181437,-10.149619,-0.7290344,0.5810703,-9.695823,-1.3504798
1409523027372,0.21188685,-10.1861315,-0.6889315,0.57255554,-9.694903,-1.3606714
1409523027390,0.18195933,-10.202292,-0.66738373,0.5629563,-9.694183,-1.369775
1409523027391,0.18914193,-10.201694,-0.6572084,0.55217826,-9.693791,-1.3769137
1409523027405,0.23702596,-10.1699705,-0.59615624,0.5414979,-9.6936035,-1.382474
1409523027409,0.32022446,-10.131663,-0.55006784,0.5298001,-9.6938505,-1.3852735
1409523027422,0.41838676,-10.107721,-0.5979519,0.5178391,-9.694399,-1.3859512
1409523027440,0.52732295,-10.08737,-0.7254431,0.507261,-9.694973,-1.3858513
1409523027443,0.6051345,-9.991004,-0.8487445,0.49908468,-9.695448,-1.385498
1409523027472,0.6512229,-9.911995,-0.8858546,0.4929811,-9.695865,-1.384764
1409523027473,0.66858083,-9.859323,-0.87448215,0.48936436,-9.69633,-1.3827798
1409523027474,0.65900403,-9.8515415,-0.90979666,0.48798665,-9.696676,-1.3808336
1409523027504,0.6356605,-9.8994255,-0.98341835,0.4870102,-9.697396,-1.376125
1409523027505,0.58777654,-9.988011,-1.1390414,0.48806292,-9.698361,-1.3689314
1409523027505,0.5602432,-10.035895,-1.2174516,0.49073535,-9.69954,-1.3595994
1409523027509,0.55365914,-10.07121,-1.287482,0.4948954,-9.700942,-1.3480372
1409523027523,0.4973954,-10.063428,-1.2964603,0.49971625,-9.702247,-1.3368263
1409523027538,0.4321534,-10.078991,-1.287482,0.5038155,-9.703199,-1.3283502
1409523027541,0.39923313,-10.113108,-1.2922704,0.5068404,-9.703723,-1.3233563
1409523027557,0.36032736,-10.088568,-1.2593501,0.50978464,-9.704032,-1.319969
1409523027577,0.3333926,-10.088568,-1.2725182,0.51192605,-9.703968,-1.3195976
1409523027577,0.31483752,-10.1382475,-1.2856863,0.5127999,-9.703601,-1.3219545
1409523027588,0.31423897,-10.187328,-1.2599486,0.51247984,-9.703106,-1.3257207
1409523027589,0.33399114,-10.119692,-1.1719618,0.51090515,-9.702518,-1.330602
1409523027606,0.35673606,-10.024523,-1.0498575,0.5078557,-9.701861,-1.3365549
1409523027609,0.39444473,-9.89344,-0.93373865,0.5027461,-9.701116,-1.3438727
1409523027623,0.4189853,-9.767146,-0.86610246,0.49541855,-9.700272,-1.3526496
1409523027639,0.4213795,-9.718064,-0.83258367,0.4871993,-9.699434,-1.3616133
1409523027641,0.43634325,-9.668385,-0.82899237,0.47725686,-9.698618,-1.3709116
1409523027665,0.4782418,-9.595362,-0.79008657,0.46618193,-9.697732,-1.380971
1409523027666,0.52612585,-9.600749,-0.75477207,0.454317,-9.696797,-1.3914405
1409523027670,0.55725044,-9.64564,-0.7404069,0.44149464,-9.695781,-1.4026221
1409523027701,0.55246204,-9.701305,-0.736217,0.4279773,-9.694612,-1.4148148
1409523027701,0.52971715,-9.742605,-0.7290344,0.4140984,-9.69332,-1.4277325
1409523027702,0.47105917,-9.755774,-0.7380127,0.4003522,-9.692003,-1.4405494
1409523027709,0.38965634,-9.752182,-0.76434886,0.38515055,-9.690731,-1.4532113
1409523027721,0.3705027,-9.76535,-0.7685388,0.36932665,-9.689641,-1.4645346
1409523027729,0.3393781,-9.844358,-0.7332243,0.35405603,-9.68863,-1.4749429
1409523027743,0.30107087,-9.879075,-0.64703304,0.33865678,-9.687679,-1.484791
1409523027750,0.2873042,-9.919776,-0.5674258,0.32268238,-9.686777,-1.4941981
1409523027805,0.2885013,-9.950302,-0.5710171,0.30614188,-9.685861,-1.5035897
1409523027805,0.31244332,-9.925761,-0.6655881,0.28970775,-9.684911,-1.512935
1409523027806,0.36750996,-9.909002,-0.7649474,0.27416912,-9.6838665,-1.5224788
1409523027806,0.4357447,-9.873089,-0.86969376,0.2605065,-9.683005,-1.5303451
1409523027806,0.50278234,-9.809045,-0.95349085,0.24810763,-9.682397,-1.5362347
1409523027810,0.5979519,-9.824008,-1.0223241,0.23651451,-9.681921,-1.541063
1409523027823,0.7068881,-9.929952,-1.1384429,0.22650632,-9.681543,-1.5449313
1409523027842,0.80684596,-9.97604,-1.2485762,0.21790333,-9.681157,-1.5485802
1409523027842,0.89543146,-9.973047,-1.3365631,0.21036388,-9.680738,-1.5522426
1409523027857,0.95468795,-9.992201,-1.3928268,0.20382074,-9.680205,-1.5564356
1409523027876,1.0175357,-10.001778,-1.4155718,0.19791941,-9.679473,-1.5617387
1409523027877,1.0953473,-9.974244,-1.3838485,0.19453911,-9.67826,-1.569669
1409523027892,1.2228385,-9.951499,-1.3497312,0.19417292,-9.676446,-1.5808486
1409523027892,1.3437457,-9.888053,-1.3239936,0.19718379,-9.673935,-1.5957795
1409523027907,1.4030021,-9.73662,-1.3180081,0.20458296,-9.670727,-1.6141835
1409523027910,1.42455,-9.618706,-1.3102269,0.217633,-9.666952,-1.6349478
1409523027924,1.3652935,-9.646837,-1.4065934,0.2380974,-9.6629505,-1.6556236
1409523027937,1.276708,-9.764751,-1.508347,0.26227877,-9.658792,-1.6761185
1409523027941,1.1097125,-9.867104,-1.6340426,0.29256022,-9.654752,-1.6942757
1409523027955,0.84216046,-10.064626,-1.6938977,0.3277113,-9.651029,-1.708993
1409523027973,0.37588966,-10.199299,-1.6537948,0.36580607,-9.647942,-1.7186594
1409523027973,-0.219668,-10.292074,-1.5981296,0.40509617,-9.645674,-1.7225807
1409523027989,-0.7505822,-10.423157,-1.4933833,0.44331253,-9.644521,-1.719622
1409523027990,-1.258153,-10.62427,-1.3497312,0.4773837,-9.645255,-1.706332
1409523028006,-1.6705543,-10.827777,-1.1534066,0.5010691,-9.648526,-1.6808506
1409523028011,-2.0338743,-11.058818,-1.0013748,0.514386,-9.653385,-1.6486213
1409523028028,-2.236783,-11.020511,-0.931943,0.514749,-9.660971,-1.603464
1409523028030,-2.3397336,-10.669162,-0.6721721,0.5010922,-9.671053,-1.5459695
1409523028043,-2.48159,-10.423157,-0.8936358,0.4757985,-9.683417,-1.4749389
1409523028068,-2.9281087,-10.738593,-1.6597804,0.44354692,-9.696622,-1.3961254
1409523028069,-3.5583823,-11.359888,-1.9602526,0.4055527,-9.709228,-1.3178813
1409523028070,-4.146757,-11.23958,-1.8375498,0.35739568,-9.720585,-1.2461567
1409523028104,-3.9959226,-10.516531,-1.4185646,0.3010665,-9.730625,-1.1809642
1409523028104,-2.7629087,-9.288305,-0.908001,0.23503567,-9.73788,-1.1352786
1409523028105,-1.8381484,-8.587403,-0.5943606,0.16528204,-9.741809,-1.113658
1409523028110,-1.4203602,-8.409634,-0.39683893,0.081710026,-9.7422905,-1.1187043
1409523028135,-1.1150994,-8.542512,-0.26635495,-0.008922434,-9.739687,-1.1440331
1409523028135,-0.6715736,-8.829816,-0.05267244,-0.093964815,-9.734903,-1.1803476
1409523028142,-0.21068975,-9.174581,-0.022146367,-0.16959932,-9.728217,-1.2261534
1409523028165,0.18614918,-9.457695,0.04070143,-0.23845951,-9.719015,-1.2861711
1409523028165,0.45908818,-9.8677025,0.017357962,-0.3019754,-9.708249,-1.3524535
1409523028170,0.581791,-10.261548,-0.15143326,-0.35827568,-9.694971,-1.4316336
1409523028196,0.6847417,-10.393828,-0.50996494,-0.39973435,-9.6794615,-1.5227093
1409523028196,0.86251116,-10.544662,-0.98222125,-0.42002532,-9.6617155,-1.6264205
1409523028202,1.1480197,-10.726623,-1.4119805,-0.41467473,-9.641948,-1.7410554
1409523028225,1.6430209,-10.421362,-1.8297687,-0.38313234,-9.62075,-1.8613869
1409523028226,2.1158757,-9.874287,-2.1547816,-0.32823858,-9.599282,-1.9790041
