time,acc_x,acc_y,acc_z,gravity_x,gravity_y,gravity_z
1419803782115,-1.1133038,6.2608376,6.397307,-0.20798795,6.7244983,7.1350017
1419803782116,-0.8655039,5.963358,5.8723783,-0.22755846,6.701609,7.1559095
1419803782124,-0.4890157,5.8639984,6.290765,-0.24541284,6.680975,7.1745896
1419803782148,-0.074818805,6.114791,7.426215,-0.2542679,6.659125,7.1945662
1419803782149,0.24361002,6.4020953,8.273164,-0.25126988,6.63284,7.2189107
1419803782152,0.40880993,6.6361284,8.616732,-0.22611718,6.6000695,7.2497134
1419803782176,0.25079262,6.803723,8.399458,-0.18792905,6.565515,7.282108
1419803782176,-0.25917232,6.6187706,7.701548,-0.15685134,6.5381837,7.30739
1419803782192,-0.736217,6.244078,6.95755,-0.14685777,6.522513,7.3215885
1419803782213,-0.8774749,5.9681463,6.7145386,-0.15729776,6.5126505,7.3301454
1419803782214,-0.88944596,5.8520274,6.4547677,-0.18217677,6.507548,7.3341002
1419803782214,-0.94331545,5.9651537,6.4900823,-0.22026056,6.5010834,7.3387866
1419803782224,-0.8451532,6.1117983,6.8043213,-0.25952318,6.489207,7.348009
1419803782245,-0.7170634,6.1770406,7.141904,-0.2895869,6.4717546,7.3622637
1419803782245,-0.46327803,6.1159883,7.3962874,-0.30335575,6.45191,7.3791075
1419803782255,-0.17477672,6.1405287,7.1861963,-0.2961201,6.4341726,7.3948717
1419803782272,-0.11911154,6.187216,7.1275387,-0.26776496,6.4210668,7.4073353
1419803782273,-0.18555063,6.18961,6.9168487,-0.2308312,6.4179587,7.4112697
1419803782293,-0.29628247,6.109404,6.4392056,-0.1831462,6.4242373,7.4071608
1419803782294,-0.38367084,5.9687448,6.051345,-0.13239464,6.434807,7.3990617
1419803782313,-0.37948096,5.6658783,5.943606,-0.083423406,6.4435315,7.39218
1419803782315,0.05865794,5.358822,5.9890957,-0.038493834,6.445502,7.3908334
1419803782326,0.670975,5.5006785,6.3230867,0.00838146,6.442338,7.3936863
1419803782348,1.0690111,6.0866594,6.582259,0.059386108,6.4301143,7.404086
1419803782348,1.4449008,6.090849,5.9202623,0.11430442,6.4085197,7.422142
1419803782352,0.2172738,4.83928,5.400122,0.16576485,6.3706455,7.4537106
1419803782372,-1.2042835,4.575918,5.5737014,0.18317878,6.3047304,7.509142
1419803782375,-1.5999253,4.6884456,5.9124813,0.15833895,6.210143,7.5881114
