time,acc_x,acc_y,acc_z,gravity_x,gravity_y,gravity_z
1419803737344.00,7.756615,-6.640917,0.3866636,7.7165985,-5.982783,0.9114754
1419803737360.00,7.78355,-6.904279,0.41240123,7.690167,-6.0244865,0.8586422
1419803737361.00,7.8206596,-7.04015,0.5410896,7.6550565,-6.075383,0.81254333
1419803737374.00,7.8493905,-7.071873,0.6733692,7.61813,-6.1256633,0.7815081
1419803737380.00,7.752425,-7.074866,0.7751228,7.5838404,-6.1701617,0.76475865
1419803737392.00,7.6949644,-7.101202,0.79966336,7.5484953,-6.21383,0.7608628
1419803737410.00,7.6710224,-7.067683,0.7344214,7.5124454,-6.257233,0.76194006
1419803737411.00,7.656657,-6.9826894,0.65541273,7.481579,-6.294707,0.7570044
1419803737428.00,7.626131,-6.8785415,0.61770403,7.4561543,-6.325854,0.7481372
1419803737429.00,7.6291237,-6.749853,0.5835867,7.4355125,-6.350984,0.740636
1419803737443.00,7.5962033,-6.5655,0.56323594,7.4230256,-6.3666615,0.7312562
1419803737459.00,7.5465236,-6.3721676,0.51355624,7.4194217,-6.3721824,0.7196236
1419803737463.00,7.44896,-6.2464724,0.45489833,7.423929,-6.3687034,0.70377606
1419803737489.00,7.441777,-6.1357403,0.3716998,7.4307423,-6.36269,0.6860475
1419803737490.00,7.44896,-5.9741316,0.31663316,7.443381,-6.350776,0.6588754
1419803737491.00,7.501034,-5.852626,0.3309984,7.462595,-6.331035,0.63093704
1419803737516.00,7.714118,-5.7418942,0.45130703,7.4870048,-6.3045235,0.6067279
1419803737517.00,8.087015,-5.535394,0.5141548,7.522196,-6.263683,0.59432316
1419803737521.00,8.1319065,-5.590461,0.40043023,7.57875,-6.1958704,0.58663553
1419803737529.00,7.9810715,-5.7005944,0.61112,7.629355,-6.135209,0.5679437
1419803737556.00,7.9828672,-5.6724625,0.91697925,7.6623306,-6.0936804,0.5710972
1419803737557.00,8.134899,-5.6826377,1.1719618,7.691637,-6.0534077,0.60446286
1419803737560.00,8.304289,-5.752668,1.3269863,7.721075,-6.0105615,0.6546651
1419803737580.00,8.33242,-5.7790046,1.4185646,7.7487993,-5.9686737,0.7081214
1419803737582.00,8.331821,-5.6844335,1.5041572,7.772456,-5.9304357,0.76762336
1419803737589.00,8.256405,-5.590461,1.6250644,7.797164,-5.8886986,0.8353835
1419803737617.00,8.082825,-5.468955,1.8124107,7.820606,-5.8470335,0.9059423
1419803737618.00,7.9062524,-5.348048,2.0638018,7.837755,-5.8094177,0.9953052
1419803737621.00,7.8757267,-5.2462945,2.4241292,7.85015,-5.774148,1.0976088
1419803737646.00,7.9625163,-5.141548,2.802413,7.8606586,-5.7339473,1.225674
1419803737647.00,8.090008,-5.035006,3.1352072,7.8727474,-5.682777,1.3770646
1419803737684.00,8.234857,-4.938041,3.3997664,7.8881497,-5.6181083,1.5441245
1419803737685.00,8.357559,-4.8428717,3.4799721,7.9085217,-5.5407004,1.7106489
1419803737686.00,8.46889,-4.9320555,3.3854012,7.9296947,-5.4534917,1.8840784
1419803737687.00,8.552089,-5.076905,3.1561563,7.951821,-5.3722982,2.0192497
1419803737692.00,8.574833,-5.3247046,2.8473043,7.9711647,-5.305494,2.1172335
1419803737716.00,8.620922,-5.6120086,2.492364,7.9819417,-5.2646255,2.1777754
1419803737716.00,8.6257105,-5.8238955,2.1559787,7.984468,-5.251194,2.2008255
1419803737721.00,8.482059,-5.9651537,1.721431,7.980601,-5.259999,2.1938136
1419803737731.00,8.415619,-5.9968767,1.30484,7.969195,-5.2916827,2.1587973
1419803737750.00,8.417415,-5.9160724,1.0408791,7.9657626,-5.3308115,2.073511
1419803737752.00,8.3408,-5.7855883,0.87807345,7.9651804,-5.3645616,1.9868987
1419803737761.00,8.160637,-5.6221843,1.0079589,7.969919,-5.391577,1.8925346
1419803737778.00,7.9870567,-5.459977,1.5939398,7.9752254,-5.4100776,1.8158331
1419803737795.00,7.902063,-5.369596,2.2266076,7.9756656,-5.4170356,1.7930063
1419803737797.00,7.8823104,-5.2923827,2.6473885,7.969642,-5.4143257,1.8276439
1419803737809.00,7.8410106,-5.2756233,2.8491,7.961673,-5.4049954,1.8889638
1419803737812.00,7.768586,-5.2528787,2.8628666,7.9510684,-5.3953114,1.9599732
1419803737827.00,7.702147,-5.3606176,2.8377275,7.9374256,-5.3868675,2.0369868
1419803737839.00,7.6614456,-5.501277,2.7431567,7.916283,-5.3875837,2.115847
1419803737842.00,7.702147,-5.6539073,2.497751,7.888658,-5.3994455,2.1875684
1419803737862.00,7.7799582,-5.8065376,2.2014685,7.860352,-5.4219446,2.2333324
1419803737863.00,7.8715367,-5.9465985,1.922544,7.835339,-5.4529886,2.2456093
1419803737880.00,7.8954787,-6.0441623,1.7070658,7.815822,-5.489886,2.223613
1419803737881.00,7.884106,-6.0764837,1.5065514,7.7964115,-5.531889,2.1873674
1419803737890.00,7.8266454,-6.117784,1.3569138,7.781505,-5.5746813,2.1310756
1419803737910.00,7.7344685,-6.145317,1.228824,7.767847,-5.61982,2.061203
1419803737910.00,7.6823945,-6.101623,1.1456255,7.7537117,-5.667464,1.9824767
1419803737927.00,7.6129627,-6.0740895,1.0372878,7.7422385,-5.710258,1.9029139
1419803737941.00,7.6387005,-6.06571,0.9744401,7.730793,-5.7522817,1.8211248
1419803737941.00,7.704541,-6.017826,0.9475053,7.722371,-5.788843,1.7391636
1419803737955.00,7.7224975,-5.9238534,0.9355343,7.7194633,-5.815286,1.6621459
1419803737961.00,7.8248496,-5.8065376,0.98940384,7.721104,-5.832653,1.5922015
1419803737973.00,7.9463553,-5.710171,1.0971429,7.73015,-5.8361588,1.534415
1419803737992.00,8.045116,-5.659294,1.2695254,7.745972,-5.8263383,1.4913439
1419803737993.00,8.183381,-5.5701103,1.4927847,7.7652373,-5.8074946,1.4644033
1419803738014.00,8.252214,-5.5126495,1.7274165,7.7880282,-5.776941,1.4642303
1419803738015.00,8.282143,-5.480926,1.9949685,7.812085,-5.7399864,1.4813094
1419803738021.00,8.305486,-5.3941364,2.2278047,7.8334236,-5.7003465,1.5211575
1419803738049.00,8.310873,-5.2636523,2.3660698,7.854666,-5.6547866,1.5805128
1419803738052.00,8.228272,-5.059547,2.5462334,7.8782144,-5.6019588,1.6499131
1419803738053.00,8.169016,-4.793192,2.7694929,7.90286,-5.542651,1.7303807
1419803738063.00,8.269572,-4.5298295,3.0160956,7.930181,-5.468629,1.8375831
1419803738091.00,8.564658,-4.353257,3.2860417,7.965754,-5.375193,1.9556185
1419803738092.00,9.069236,-4.2161894,3.5661635,8.009555,-5.2620554,2.0804286
1419803738092.00,9.820416,-4.1425676,3.8373067,8.065283,-5.124385,2.205061
1419803738133.00,10.79366,-4.158728,4.0198646,8.135232,-4.959748,2.3214865
1419803738135.00,11.8818245,-4.3065705,4.0976763,8.219046,-4.775077,2.4117064
1419803738136.00,12.99453,-4.59986,4.1240125,8.310441,-4.5781646,2.479394
1419803738137.00,13.857041,-5.0559554,3.99293,8.401148,-4.3870225,2.518957
1419803738142.00,13.959393,-5.650316,3.5883098,8.481932,-4.227252,2.5214217
1419803738177.00,13.324929,-5.9759274,3.0502129,8.525968,-4.171812,2.4645998
1419803738178.00,12.410344,-5.6826377,2.420538,8.560575,-4.136662,2.4031162
1419803738180.00,11.680712,-5.8466406,1.5490485,8.5871725,-4.114943,2.344802
1419803738203.00,10.769718,-7.062895,-13.20941,8.601313,-4.1104426,2.3004508
1419803738204.00,11.626244,-8.123527,-15.7736,8.684509,-4.1971593,1.7701755
1419803738204.00,12.740745,-7.7248917,-3.3207579,8.740972,-4.2937713,1.1529753
1419803738210.00,11.609484,-8.042124,-1.4191631,8.738604,-4.313856,1.0944659
1419803738235.00,10.157999,-8.3868885,-4.743512,8.7367,-4.3384533,1.0091063
1419803738236.00,10.8595,-7.6692266,-4.1826706,8.757784,-4.3565655,0.7013988
1419803738242.00,11.793239,-6.395511,-1.2910733,8.7842,-4.340638,0.408762
1419803738277.00,11.254543,-5.6485205,0.9259575,8.815546,-4.2903757,0.2218588
1419803738279.00,10.376471,-5.5467668,2.496554,8.843978,-4.2363772,0.08707564
1419803738280.00,9.564836,-5.592855,3.1376014,8.874007,-4.1736035,-0.05837211
1419803738303.00,8.992023,-5.6461263,2.5623944,8.905887,-4.1006765,-0.20010172
1419803738304.00,8.845977,-6.206968,1.3838485,8.935829,-4.025975,-0.3359861
1419803738305.00,9.22067,-7.0515227,0.8858546,8.958891,-3.9605567,-0.4718974
1419803738310.00,9.288904,-7.914034,1.5280992,8.973948,-3.9067109,-0.61341625
1419803738335.00,9.135675,-8.397662,2.0727801,8.980855,-3.8671184,-0.7483543
1419803738335.00,8.9363575,-8.282741,1.5041572,8.981412,-3.8324573,-0.9038161
1419803738342.00,8.649054,-7.889493,0.7206547,8.978801,-3.7909508,-1.0863906
1419803738370.00,7.838018,-7.948151,0.59735334,8.977237,-3.7413769,-1.2576625
1419803738371.00,7.167641,-8.166023,1.3700819,8.978378,-3.6953592,-1.3796496
1419803738372.00,7.153276,-7.9631147,1.6334441,8.981215,-3.6573997,-1.4600036
1419803738399.00,7.341221,-7.571663,1.4987702,8.983604,-3.6222866,-1.5310993
1419803738400.00,7.577648,-7.2963295,1.0570401,8.980067,-3.5920913,-1.6203903
1419803738402.00,7.415441,-7.1155677,0.55605334,8.971196,-3.5630817,-1.7298733
1419803738431.00,6.8761473,-6.892308,0.34835634,8.962716,-3.5262978,-1.8453467
1419803738431.00,6.5858502,-6.5325794,0.3561375,8.95963,-3.4751613,-1.9541415
1419803738432.00,6.6864066,-6.129156,0.6805518,8.962585,-3.410434,-2.0521631
