time,acc_x,acc_y,acc_z,gravity_x,gravity_y,gravity_z
1407528681965,2.8287494,9.863512,0.48722005,1.2076944,9.588576,1.6646546
1407528681992,3.1519666,9.824607,0.0676362,1.2371718,9.593022,1.6167052
1407528681993,2.657564,9.57142,0.025737667,1.2734495,9.596775,1.5654601
1407528681995,2.497751,9.294889,-0.08499416,1.3085783,9.599955,1.5162065
1407528681997,2.1003134,8.982447,-0.18016368,1.3442241,9.602469,1.4683477
1407528682020,1.8249803,8.66701,-0.18255788,1.3770275,9.604761,1.422233
1407528682022,1.5987282,8.446744,-0.12569559,1.4056901,9.606819,1.3796593
1407528682044,1.5382746,8.416816,-0.19572599,1.431106,9.608654,1.3401812
1407528682045,1.3694834,8.445546,-0.2112883,1.4536946,9.610441,1.3025328
1407528682049,1.2862848,8.64666,-0.01436521,1.4725913,9.612337,1.2668115
1407528682075,1.246182,8.728661,0.25438392,1.4877833,9.614083,1.2354403
1407528682076,1.0097545,8.624513,0.49081135,1.5001479,9.615509,1.2091104
1407528682078,1.0582372,8.528147,0.45310268,1.5085144,9.6171665,1.185269
1407528682110,1.1755531,8.468291,0.24660277,1.5160986,9.619397,1.1571733
1407528682111,1.2743138,8.5060005,0.11492168,1.5255075,9.621914,1.1233839
1407528682112,1.371279,8.67958,0.05207389,1.5353645,9.624924,1.083471
1407528682118,1.441908,8.7609825,0.10295067,1.5452982,9.628084,1.0404046
1407528682142,1.5227122,8.872911,0.03172317,1.5550292,9.631012,0.9979513
1407528682143,1.4706384,8.919599,-0.02633622,1.5649246,9.633674,0.95591074
1407528682151,1.5113398,8.975264,-0.050278235,1.5751383,9.636064,0.91412854
1407528682173,1.7435774,9.248202,-0.05865794,1.5863036,9.638074,0.872683
1407528682174,1.6400281,9.167996,-0.09876082,1.6005511,9.639219,0.83312434
1407528682178,2.1853075,9.155427,-0.32142156,1.613958,9.640076,0.7965292
1407528682211,2.1428106,9.184157,-0.17298107,1.6319673,9.639892,0.76131874
1407528682212,1.9829975,9.32781,0.25558102,1.6495783,9.639175,0.7318378
1407528682213,2.078167,9.193734,0.26635495,1.6610534,9.638671,0.7122668
1407528682218,1.7034745,8.937555,0.15502456,1.6701337,9.638283,0.69610184
1407528682248,1.074398,8.683769,0.17657238,1.6748111,9.638582,0.680515
1407528682249,0.7553706,8.634688,0.1328782,1.6721163,9.640115,0.66528064
1407528682250,0.46806642,8.62152,0.061052144,1.6641737,9.642507,0.6503794
1407528682267,0.37948096,8.702923,0.015562311,1.6523302,9.645484,0.63625854
1407528682286,0.1921347,8.757391,0.049081136,1.6401155,9.648415,0.6233096
1407528682288,0.15083471,8.947132,0.001795651,1.6288009,9.651051,0.61208564
1407528682302,0.19393034,9.267356,-0.09876082,1.6183213,9.653512,0.60096276
1407528682308,0.061650693,9.201516,-0.22445641,1.6105665,9.655343,0.5923013
1407528682324,0.14425065,9.169194,-0.2896984,1.6062008,9.656425,0.5864654
1407528682325,0.4285621,9.498995,-0.24241292,1.6047667,9.65683,0.58375853
1407528682332,0.6787562,9.621099,-0.20231004,1.6064278,9.656532,0.5841005
1407528682363,1.0247183,9.576807,-0.17776948,1.6147513,9.654906,0.58799803
1407528682364,1.4215573,9.471462,-0.01316811,1.6307778,9.651883,0.59338033
1407528682365,1.6849195,9.330803,0.18016368,1.6522745,9.647507,0.6049901
1407528682370,1.8016368,9.278131,0.44472298,1.6783854,9.641838,0.6232155
1407528682389,1.9752164,9.290101,0.7733272,1.7060642,9.635276,0.6490122
1407528682395,2.2349873,9.311649,0.7649474,1.7341862,9.627967,0.682095
1407528682398,2.4049757,9.284116,0.777517,1.7640074,9.61991,0.71833944
1407528682418,2.6701334,9.403227,1.13964,1.7963991,9.611208,0.7536726
1407528682418,2.8658595,9.660006,1.3347675,1.8314997,9.601566,0.7911615
1407528682438,2.705448,9.978435,0.7529764,1.8702376,9.591372,0.8235341
1407528682438,1.9554642,9.983223,-0.093373865,1.9066302,9.582411,0.8441355
1407528682451,1.0103531,9.792285,-0.36152446,1.9319292,9.576773,0.8505741
1407528682465,0.25498247,9.733028,-0.08259996,1.943453,9.574462,0.85032916
1407528682469,-0.37229836,9.944916,0.29628247,1.942442,9.57452,0.85199445
1407528682484,-0.41180268,10.475231,0.9127894,1.928494,9.576868,0.8572592
1407528682509,0.023343466,11.234792,1.0600328,1.9084713,9.579445,0.8731424
1407528682510,0.55844754,11.815984,1.0965444,1.8834329,9.582387,0.8949539
1407528682510,1.0283096,12.254722,1.3515269,1.8563427,9.585638,0.916469
1407528682518,1.4514848,12.388797,1.38325,1.8259618,9.589803,0.9337772
1407528682545,1.9835961,12.141596,0.98222125,1.7927744,9.595227,0.9423107
1407528682546,2.4504654,11.827955,0.76434886,1.7610341,9.601461,0.93866265
1407528682549,3.0370448,11.462839,0.18076223,1.7337002,9.607408,0.92866385
1407528682572,3.2555158,11.025897,-0.05207389,1.7098465,9.614306,0.9010633
