time,acc_x,acc_y,acc_z,gravity_x,gravity_y,gravity_z
1419804849947.00,7.233482,-6.8426285,-1.6184803,6.953572,-6.7357726,-1.5644921
1419804849948.00,7.2322845,-6.8767457,-1.5634137,6.962217,-6.727045,-1.5635931
1419804849949.00,7.2406645,-6.909666,-1.555034,6.9690294,-6.721564,-1.5567917
1419804850063.00,7.2406645,-6.9366007,-1.5520413,6.9736753,-6.7182364,-1.5503373
1419804850064.00,7.261614,-6.9348054,-1.5574282,6.9764013,-6.7165656,-1.5452982
1419804850066.00,7.241862,-6.945579,-1.5783775,6.979675,-6.7139516,-1.5418752
1419804850067.00,7.229292,-6.9467764,-1.6220716,6.98074,-6.71292,-1.5415456
1419804850068.00,7.2113357,-6.941389,-1.6454151,6.9802904,-6.7122884,-1.5463246
1419804850068.00,7.20116,-6.931214,-1.6304513,6.9789863,-6.712144,-1.5528297
1419804850069.00,7.20535,-6.9383965,-1.6400281,6.97822,-6.712054,-1.5566614
1419804850070.00,7.189189,-6.9527617,-1.6298528,6.977266,-6.712152,-1.5605046
1419804850071.00,7.1790137,-6.988076,-1.5849615,6.975143,-6.713876,-1.5625877
1419804850072.00,7.1670427,-7.0156097,-1.5771804,6.9718065,-6.7181144,-1.5592648
1419804850073.00,7.1484876,-7.018004,-1.5562311,6.967007,-6.724037,-1.5551625
1419804850074.00,7.1431007,-7.00304,-1.5448587,6.961782,-6.730668,-1.5498692
1419804850076.00,7.1460934,-6.979098,-1.5478514,6.9574685,-6.7364006,-1.5443244
1419804850077.00,7.1766195,-6.941988,-1.5717934,6.954924,-6.7400894,-1.5397015
1419804850120.00,7.1820064,-6.9078703,-1.5993267,6.955461,-6.7399006,-1.5380951
1419804850121.00,7.157466,-6.859388,-1.6154876,6.957528,-6.7374682,-1.5393916
1419804850122.00,7.1502833,-6.8438253,-1.6717514,6.960474,-6.733571,-1.5431366
1419804850123.00,7.1407065,-6.854001,-1.666963,6.9626746,-6.729036,-1.5529449
1419804850126.00,7.1466923,-6.893505,-1.6717514,6.963555,-6.726235,-1.5611107
1419804850162.00,7.141305,-6.931214,-1.697489,6.9628563,-6.725311,-1.5681945
1419804850162.00,7.095815,-6.968324,-1.7130513,6.9600677,-6.7262287,-1.576614
1419804850163.00,7.0946183,-6.991069,-1.7244238,6.9535413,-6.7308545,-1.5856378
1419804850166.00,7.0850415,-7.021595,-1.7040731,6.9464536,-6.7361617,-1.5941467
1419804850174.00,7.1006036,-7.055114,-1.6837224,6.9381065,-6.7432604,-1.6004771
1419804850187.00,7.101801,-7.079056,-1.6915035,6.9296556,-6.7510223,-1.6043589
1419804850202.00,7.111976,-7.093421,-1.7052702,6.9212327,-6.758784,-1.6080344
1419804850208.00,7.1251445,-7.1006036,-1.7244238,6.9132953,-6.765878,-1.612344
1419804850219.00,7.116166,-7.0874357,-1.7262194,6.9060574,-6.772097,-1.61724
1419804850226.00,7.080253,-7.062895,-1.769315,6.8999457,-6.777093,-1.6223996
1419804850237.00,7.069479,-7.023989,-1.7842789,6.893377,-6.7815204,-1.6317934
1419804850254.00,7.04434,-6.991069,-1.7932571,6.888599,-6.784,-1.6416385
1419804850257.00,7.050924,-6.9725137,-1.7914615,6.884447,-6.7856827,-1.6520675
1419804850269.00,7.032369,-6.949769,-1.7770962,6.8820558,-6.785791,-1.6615409
1419804850275.00,7.0461354,-6.9946604,-1.7250223,6.8803887,-6.785665,-1.6689562
1419804850288.00,7.057508,-7.031172,-1.6693572,6.877853,-6.788053,-1.6696938
1419804850302.00,7.056311,-7.0622964,-1.6436194,6.875088,-6.7920346,-1.6648943
1419804850306.00,7.074866,-7.0850415,-1.6370354,6.8711834,-6.7976875,-1.6579175
1419804850320.00,7.0808516,-7.1227503,-1.6370354,6.867508,-6.803162,-1.6506671
1419804850326.00,7.086837,-7.1329255,-1.6370354,6.862633,-6.809682,-1.6440538
1419804850337.00,7.0730705,-7.1167645,-1.6717514,6.858154,-6.8157434,-1.6376007
1419804850351.00,7.062895,-7.095815,-1.6813282,6.853573,-6.820665,-1.6363041
1419804850355.00,7.0587053,-7.061698,-1.6980876,6.8495507,-6.824631,-1.636593
1419804850369.00,7.065888,-7.04015,-1.7345991,6.8474717,-6.826293,-1.6383629
1419804850377.00,7.067085,-7.038953,-1.7184383,6.8469596,-6.8256993,-1.6429677
1419804850388.00,7.079654,-7.0329676,-1.7082629,6.847054,-6.8251038,-1.6450462
1419804850403.00,7.0874357,-7.0275807,-1.6915035,6.8480616,-6.8240085,-1.6453959
1419804850406.00,7.080253,-6.9958572,-1.6921021,6.849826,-6.82248,-1.6444004
1419804850417.00,7.079654,-6.9605427,-1.6753427,6.8527436,-6.8196254,-1.6440883
1419804850426.00,7.079654,-6.941988,-1.6747441,6.8570447,-6.8156815,-1.6425077
1419804850438.00,7.08564,-6.9306154,-1.6675615,6.861777,-6.811111,-1.6416993
1419804850451.00,7.0712748,-6.9048777,-1.6496049,6.8668966,-6.8062057,-1.6406361
1419804850455.00,7.0467343,-6.8988924,-1.6484078,6.871846,-6.8016706,-1.6387247
1419804850468.00,7.0712748,-6.906075,-1.6597804,6.8755074,-6.7983294,-1.6372324
1419804850475.00,7.0784574,-6.9210386,-1.6537948,6.8796744,-6.794289,-1.636507
1419804850487.00,7.0940194,-6.9240313,-1.6316484,6.883257,-6.791051,-1.6348826
1419804850503.00,7.1209545,-6.9342065,-1.6035166,6.8872657,-6.7877846,-1.6315473
1419804850506.00,7.153875,-6.9611416,-1.5705963,6.8923106,-6.7841,-1.6255589
1419804850518.00,7.1580644,-6.969521,-1.553837,6.897628,-6.7810416,-1.6157401
1419804850526.00,7.1592617,-6.9916677,-1.5388732,6.902271,-6.7789226,-1.6047634
1419804850537.00,7.1706343,-6.955156,-1.5508442,6.9055533,-6.7782702,-1.5933686
1419804850550.00,7.177817,-6.9198413,-1.5616181,6.9108005,-6.7750764,-1.5841625
1419804850557.00,7.211934,-6.885724,-1.5598224,6.9174156,-6.769885,-1.5774796
1419804850568.00,7.27957,-6.8492126,-1.5562311,6.926722,-6.761725,-1.5716187
1419804850575.00,7.345411,-6.88752,-1.5502456,6.9399915,-6.7493553,-1.566248
1419804850597.00,7.5363483,-6.893505,-1.4119805,6.9533186,-6.737214,-1.5593898
1419804850598.00,7.641693,-6.8719573,-1.371279,6.9760766,-6.7184863,-1.5384084
1419804850607.00,7.7087307,-6.83784,-1.299453,7.003013,-6.695879,-1.5144044
1419804850621.00,7.750031,-6.819285,-1.2252327,7.032567,-6.671419,-1.4851193
1419804850627.00,7.7350674,-6.795343,-1.1737574,7.0626836,-6.647129,-1.450719
1419804850637.00,7.677606,-6.781576,-1.1444284,7.090486,-6.625124,-1.4153122
1419804850653.00,7.5932107,-6.781576,-1.1701661,7.113587,-6.6073947,-1.381884
1419804850655.00,7.5088153,-6.7827735,-1.2054806,7.1299005,-6.59542,-1.3547447
