time,acc_x,acc_y,acc_z,gravity_x,gravity_y,gravity_z
1405456835830,-0.95229375,8.209718,0.12749124,0.8083815,9.760391,0.50166535
1405456835831,-1.2030864,8.045714,0.23403321,0.75578505,9.764057,0.5122171
1405456835832,-1.292869,7.869741,0.2088941,0.70139235,9.767214,0.52912796
1405456835834,-1.2264298,7.589619,-0.08499416,0.6403677,9.770811,0.53998715
1405456835876,-1.1192893,7.711724,-0.4333505,0.57017714,9.775354,0.5363877
1405456835877,-1.0546459,8.094796,-0.7062895,0.49285513,9.780645,0.5162217
1405456835878,-0.8295909,8.511986,-0.80924016,0.41103727,9.786154,0.48232585
1405456835878,-0.374094,8.798093,-0.7906851,0.3291627,9.791052,0.4442618
1405456835883,0.029927522,9.027337,-0.63087213,0.24909343,9.794961,0.40874156
1405456835915,0.57999533,9.118318,-0.3854665,0.17293109,9.797598,0.38414252
1405456835916,0.8595184,9.061455,-0.17537527,0.10401333,9.798886,0.3760504
1405456835916,0.95947635,8.862138,-0.0700304,0.039801557,9.799013,0.3849293
1405456835957,0.93373865,8.644265,0.09816227,-0.024127018,9.798191,0.40652213
1405456835958,0.6572084,8.576031,0.18555063,-0.090425245,9.796458,0.437773
1405456835959,0.4985925,8.612542,0.09876082,-0.15965866,9.793971,0.47229078
1405456835960,0.6560113,8.636484,-0.01616086,-0.23155805,9.790712,0.50863457
1405456835963,0.96187055,8.815451,-0.19093758,-0.30120122,9.786957,0.5432845
1405456835997,1.2354081,9.263765,-0.40761283,-0.36279726,9.783102,0.57419634
1405456835997,1.228824,9.548077,-0.3716998,-0.41379678,9.779431,0.6015882
1405456835998,0.9708488,9.681553,0.01316811,-0.45879912,9.775504,0.6320061
1405456836023,0.83856916,9.737218,0.45010993,-0.50396746,9.770845,0.6685516
1405456836024,0.85532856,9.606135,1.0133458,-0.5464716,9.765194,0.71606916
1405456836025,0.7260417,9.498397,0.90261406,-0.58290744,9.758768,0.7726906
1405456836032,0.3489549,9.561244,0.75237787,-0.61508775,9.75232,0.82722473
1405456836059,0.23403321,9.554062,0.7637503,-0.6471493,9.745906,0.8768851
1405456836059,0.6314707,9.313444,0.50038815,-0.68008566,9.739293,0.9241537
1405456836063,1.3281834,8.884883,0.17657238,-0.7108938,9.733082,0.9654846
1405456836086,2.1865046,8.728063,0.13946225,-0.7370067,9.7276325,1.0002064
1405456836087,2.3050177,8.933964,0.33638534,-0.7548072,9.723794,1.0239578
1405456836092,1.9117701,9.264363,0.64823014,-0.7682459,9.720741,1.0427783
1405456836136,1.377863,9.662399,0.9379285,-0.7816227,9.717121,1.0663153
1405456836137,0.98102415,10.038289,1.0145429,-0.7966715,9.712605,1.0959084
1405456836137,0.6548142,10.299856,1.0163386,-0.8113512,9.708505,1.1211733
1405456836138,0.56922144,10.527305,1.2234371,-0.8263915,9.705122,1.139346
1405456836144,0.4878186,10.5291,1.4903905,-0.8376675,9.70438,1.1374253
1405456836176,-0.04070143,10.2657385,1.2318168,-0.8430159,9.706535,1.1148481
1405456836177,-0.5482722,10.0664215,0.7098808,-0.8416037,9.711042,1.0759956
1405456836178,-0.6356605,9.992201,0.86729956,-0.8302254,9.7173395,1.0268449
1405456836184,-1.2551602,9.569624,0.83018947,-0.808615,9.724563,0.97436994
1405456836207,-1.8255788,8.810662,0.14305355,-0.7854735,9.732107,0.9162486
1405456836207,-2.4797945,7.9331875,-0.39983168,-0.7639605,9.739951,0.8485943
1405456836216,-3.6337996,7.3765354,-0.6374562,-0.7345596,9.749018,0.7664614
1405456836246,-4.1138372,7.451354,-1.2138603,-0.701827,9.758364,0.67243457
1405456836247,-4.380192,8.709507,-1.5119383,-0.6641966,9.767304,0.57357615
1405456836248,-4.982932,11.440693,-1.1575965,-0.6191537,9.775213,0.4819611
1405456836290,-5.122993,15.449185,-0.50757074,-0.5753385,9.7808895,0.4166513
1405456836291,-3.6631286,19.13027,-0.36152446,-0.5394009,9.784696,0.3730296
1405456836292,-3.4386723,19.321207,-1.721431,-0.47759795,9.788268,0.36344227
1405456836293,-4.8883615,16.594212,-2.0189106,-0.41196197,9.791789,0.34862465
1405456836294,-4.0001125,13.600862,-1.0450691,-0.38584816,9.793174,0.33955988
1405456836318,-3.7337575,11.195287,0.91099375,-0.35604572,9.793275,0.36798283
1405456836318,-3.4141316,9.400833,2.4109612,-0.31378043,9.791536,0.4446803
1405456836324,-2.9801826,8.039131,3.2267854,-0.2586147,9.788272,0.54151046
1405456836362,-2.3493104,7.7943234,3.5350387,-0.1922171,9.783941,0.6387211
1405456836364,-1.520318,7.788338,3.6870706,-0.104886025,9.779658,0.7194833
1405456836364,-0.41060558,8.101978,3.6032736,0.006698913,9.775781,0.7774667
1405456836365,0.32441434,8.098388,3.0460231,0.13943624,9.772049,0.81117785
1405456836390,0.85293436,7.704541,2.2852654,0.2813868,9.76837,0.81863403
1405456836391,1.3186066,7.5046253,1.4024036,0.41820642,9.764791,0.80273384
1405456836393,1.7890673,7.9068513,0.682946,0.55099136,9.760361,0.7759955
1405456836426,1.9267339,8.324639,0.093373865,0.6770368,9.755099,0.74166065
1405456836426,1.8411411,8.294113,-0.17238252,0.7944971,9.748692,0.7086656
1405456836427,1.6130934,7.945757,-0.14425065,0.8972405,9.741283,0.68758947
1405456836433,1.2665327,7.382521,0.051475335,0.9808897,9.733276,0.68673897
1405456836461,1.2330139,6.735488,0.35673606,1.0440351,9.725257,0.706936
1405456836462,1.1001357,6.042965,0.5746084,1.0914961,9.717276,0.74402624
1405456836463,1.0761937,5.405509,0.7026982,1.1313251,9.709267,0.78781277
