time,acc_x,acc_y,acc_z,gravity_x,gravity_y,gravity_z
1408129699486,0.3309984,1.1821371,8.492832,1.1982663,1.8388802,9.557879
1408129699487,0.2621651,0.99419224,8.430583,1.1747041,1.8427243,9.560064
1408129699487,0.3465607,0.79367787,8.537125,1.1530805,1.8350632,9.56417
1408129699495,0.49081135,0.6955156,8.830415,1.1375839,1.8131738,9.570198
1408129699515,0.6823475,0.75477207,9.279925,1.1315006,1.7823639,9.576705
1408129699515,0.80325466,0.88645315,10.17835,1.1355404,1.7396514,9.584078
1408129699526,0.58777654,0.98102415,11.285069,1.1455369,1.6883368,9.592062
1408129699543,-0.12689269,1.0163386,12.264298,1.1588814,1.6314205,9.600305
1408129699564,-0.4997896,1.0869676,12.671312,1.1602426,1.5766034,9.609295
1408129699565,-1.0726024,1.1204864,12.692861,1.1404307,1.5383343,9.617866
1408129699567,-2.2649148,1.3988123,11.918336,1.0897926,1.5283839,9.6253195
1408129699575,-2.2882583,1.4000094,11.726201,1.0058275,1.5402788,9.632562
1408129699603,-2.1757307,1.3754689,11.163564,0.918761,1.5834789,9.634254
1408129699603,-2.4600422,1.5035586,10.28549,0.83071977,1.6500264,9.631081
1408129699607,-2.7389667,1.673547,9.437345,0.7432488,1.736181,9.623078
1408129699639,-2.6725276,1.8441339,9.120112,0.648142,1.8352731,9.611559
1408129699639,-2.3391352,2.179322,9.304466,0.54429555,1.9351594,9.5984
1408129699640,-1.9710265,2.521693,10.114903,0.4408858,2.0342622,9.583203
1408129699660,-1.7178397,3.1950622,10.605117,0.3427846,2.125837,9.567325
1408129699661,-1.9788077,4.372411,10.428544,0.24976957,2.2157934,9.549778
1408129699677,-3.1172507,5.071518,10.146626,0.14676878,2.3192549,9.527324
1408129699677,-4.8069587,5.0840874,10.772711,-6.122867E-5,2.4335341,9.49991
1408129699692,-6.595427,5.085883,11.105505,-0.21848296,2.5423746,9.4688425
1408129699696,-7.788338,5.4144874,11.138425,-0.4997098,2.650823,9.428351
1408129699709,-7.78355,4.6136265,11.267712,-0.8113279,2.772544,9.371507
1408129699726,-5.783793,2.9867666,11.605893,-1.1107119,2.9019318,9.301371
1408129699741,-3.743933,2.1787236,12.487557,-1.3699661,3.031807,9.2250595
1408129699741,-1.8052281,1.2252327,12.902353,-1.574682,3.1757324,9.143603
1408129699758,0.3657143,0.53929394,12.779052,-1.6981605,3.3372521,9.06363
1408129699758,5.1062336,0.9600749,13.047801,-1.729486,3.5271235,8.98547
1408129699775,17.074848,1.8255788,12.774861,-1.6463425,3.7310083,8.918493
1408129699775,19.607914,1.1492168,10.081984,-1.2997177,3.9446526,8.88374
1408129699793,19.31223,1.0660183,8.962694,-1.2785461,4.206768,8.765775
1408129699795,10.5602255,-0.073023155,8.038532,2.7062764,1.9820995,9.215082
1408129699816,-0.02633622,-0.53211135,8.050503,3.254927,1.8977327,9.053974
1408129699817,-6.7767878,-0.18495208,7.443573,2.9937277,1.7924381,9.164886
1408129699827,-8.703522,0.6075287,6.7893577,2.2109206,1.6894556,9.403614
1408129699848,-7.5507135,1.2916719,8.363545,1.2781205,1.658575,9.580497
1408129699848,-4.7656584,2.2457612,7.915829,0.46261153,1.6609952,9.653884
1408129699855,-2.7898436,2.4756045,7.6009917,0.04008717,1.761208,9.64712
1408129699889,-3.5104983,1.6382325,7.727885,-0.185698,1.8789426,9.623174
1408129699890,-4.791396,2.1296425,7.37055,-0.5400531,1.9031886,9.60503
1408129699890,-7.49026,2.842516,8.140884,-1.0330005,1.9866701,9.547588
1408129699923,-8.986636,4.209007,7.9008656,-1.757222,2.1185553,9.412454
1408129699924,-11.046846,5.153519,5.6323595,-2.5207386,2.3744102,9.174881
1408129699924,-9.546281,5.5737014,3.833117,-3.3970685,2.7393405,8.78216
1408129699927,-4.016872,6.4751186,4.824915,-4.057838,3.1619391,8.349041
1408129699947,-0.6242881,7.380127,3.196858,-4.1032424,3.6671262,8.117017
1408129699947,1.9297266,8.429984,1.8710686,-3.854967,4.302234,7.92467
1408129699955,3.8127663,9.313444,0.86251116,-3.3709967,5.068369,7.6888494
1408129699990,5.2905874,10.007763,-0.2825158,-2.702194,5.9199905,7.3363657
1408129699991,6.6624646,10.538677,-0.79726917,-1.8290628,6.7944603,6.830829
1408129699992,7.921815,10.494385,-0.51475334,-0.79295325,7.5714087,6.18186
1408129700019,8.719683,8.974067,6.728904,0.33909327,8.10754,5.50665
1408129700019,7.079654,9.138668,8.866926,1.3495208,7.9637175,5.5613294
1408129700020,5.465364,9.4696665,7.4345946,1.922148,7.723581,5.7290535
1408129700029,3.8013937,8.915408,5.777807,2.253547,7.652855,5.7031336
1408129700043,2.9161377,8.545505,5.036802,2.363542,7.717768,5.56957
