time,acc_x,acc_y,acc_z,gravity_x,gravity_y,gravity_z
1408129650873,-0.8762778,9.331401,1.0313023,-0.07850509,9.369346,2.8947535
1408129650891,-0.59855044,9.478644,0.919972,-0.11438893,9.3921,2.8188207
1408129650892,-0.5398925,9.303867,0.83378077,-0.15764374,9.416635,2.7335985
1408129650908,-0.7625532,9.114127,0.87448215,-0.21099772,9.438386,2.6538136
1408129650908,-1.0696096,9.036914,1.1827357,-0.2727107,9.45745,2.5792778
1408129650923,-1.42455,9.09258,1.4275428,-0.34383374,9.47291,2.5131934
1408129650941,-1.79206,9.039309,1.4826094,-0.42275864,9.486591,2.4487271
1408129650941,-2.067393,8.9124155,1.3934253,-0.50508225,9.499333,2.3828433
1408129650954,-2.1787236,8.4425535,1.2294226,-0.58733124,9.511071,2.3162422
1408129650973,-2.2391772,7.9942393,1.1707647,-0.6657147,9.521037,2.2532349
1408129650974,-2.2655134,7.4842744,1.0965444,-0.73869085,9.52881,2.1969385
1408129650988,-2.2499511,7.3472066,1.13964,-0.80735123,9.535,2.1453135
1408129650988,-2.570774,7.36217,1.0714053,-0.8668408,9.539475,2.101755
1408129651003,-3.1250317,7.1832037,0.6691794,-0.9205343,9.54304,2.0623739
1408129651008,-3.301604,6.6947865,0.47345337,-0.97423726,9.546987,2.0189953
1408129651021,-3.064578,6.534375,0.3573346,-1.0284822,9.552126,1.9671103
1408129651037,-2.4911668,6.71394,0.4321534,-1.0806284,9.559092,1.9043093
1408129651040,-1.8297687,7.1287355,0.46387658,-1.1262054,9.566669,1.8387206
1408129651055,-1.1905168,7.6907744,0.60094464,-1.165816,9.575286,1.7678187
1408129651082,-0.7529764,8.346188,0.88405895,-1.1984574,9.584101,1.6967969
1408129651082,-0.219668,8.963293,1.1599907,-1.2249624,9.592497,1.6290684
1408129651084,0.1945289,9.489418,1.240795,-1.2463973,9.599589,1.5699633
1408129651089,0.43514615,9.612122,1.103727,-1.2682645,9.604493,1.5217156
1408129651119,0.5057751,9.548675,1.0989386,-1.2968647,9.606621,1.4837018
1408129651120,0.5093664,9.56304,1.353921,-1.3314316,9.607084,1.4496984
1408129651121,0.24181437,9.3978405,1.4634558,-1.3734175,9.604772,1.4256454
1408129651145,-0.08738836,9.258378,1.4927847,-1.4210784,9.599926,1.4115163
1408129651146,-0.3441665,9.148843,1.501763,-1.4710437,9.5929985,1.4074136
1408129651149,-0.43035775,9.025542,1.4646529,-1.5219908,9.584503,1.4111112
1408129651179,-0.40102878,9.064447,1.5263035,-1.5726398,9.574778,1.4215537
1408129651180,-0.37349546,9.044097,1.6124948,-1.6234937,9.564296,1.4348879
1408129651180,-0.42916065,8.874108,1.7154455,-1.6728362,9.552563,1.4562153
1408129651189,-0.6955156,9.035717,1.8237832,-1.7220298,9.539377,1.4850276
1408129651209,-1.2497733,8.866926,2.333748,-1.7722279,9.524903,1.5184932
1408129651210,-1.7998412,8.598177,2.409764,-1.8269726,9.508429,1.5563906
1408129651220,-2.2134395,8.462905,2.0458453,-1.8878541,9.490336,1.5937189
1408129651239,-2.0733786,8.463503,1.5041572,-1.9528,9.472146,1.623395
1408129651240,-1.1947067,8.672996,1.0019734,-2.0147412,9.455625,1.6438942
1408129651270,0.023343466,8.938752,1.0139444,-2.063902,9.4438715,1.6504567
